"Sequence","Score"
"44X2/X24XXXXX42","200"
"X71817/X3/26X9-3/3","136"
"81X7-1/9/2/81-68-X91","125"
"711/3/XX2/8/4/X81","163"
"8-5/1/9/XXX9--/21","160"
"9/7/X81427-4/9/X8/9","156"
"X-/2/457/3-X7/8/X71","147"
"7/X-/14X9-6/32X25","126"
"31XX2622XX139-X53","122"
"X8-9-44XX5181X8/2","131"
"X71X4/9-XXXXX52","206"
"818/XXX9/81X523/4","173"
"239-54XXXX3/X51","168"
"XX-61553-9X18-68/7","116"
"-0-15/9/XXXX269-","157"
"-39-X7-9-1/7/X2271","108"
"X532/9-6/9-XXXX73","189"
"5/X128-4/61-/X9/8/2","137"
"435/2/X1/9/XX4/9-","170"
"5/439-X319/-/X619/5","117"
"7/8-XXX-23-XX1/1","145"
"X71X369/635/9-8/X26","145"
"23X7/724/5/X1/5/1/3","145"
"X416/XXX51XXX91","196"
"6/X3/42-/-/X9/24-/4","142"
"5233XX5/7/8/-/7/X64","160"
"X318/X6-54XX5162","124"
"15X246/X7/8--/9-X22","136"
"XX-8X612/2/8/419/7","136"
"63XX4/X8/2/8/-/81","160"
"XX319/X8/3/2/1/33","136"
"XX2/27XX3/3/2/X-9","170"
"X25X18-0524/XX1/2","132"
"3/6/1/X8/X274/X41","155"
"X5/3-6/521/62144/-5","102"
"-/9/321/3/XX9/-/41","148"
"453/XX178/72X51X31","138"
"XX9/-41345XX81X61","149"
"-79-5/9-7/X1/X63X31","146"
"269-548116533-151/9/2","90"
"369-X4/3/7/44813/12","113"
"6--38-2/3-457-12XX19","93"
"536-532/2/X9-528/X41","124"
"6-2/8-5/9/XX2/314/X","150"
"63X1/XX2/X4/X2/-","181"
"X-9XXXX81438-X-7","176"
"X4/X-15/XX3227X22","138"
"8/219/9/8/3/X2/X8/3","158"
"X331/511-X61-82/X43","113"
"6/XX2/2/2/4/51XXX","171"
"X3/8/6/5/8144-1XX9-","153"
"X5/X12XX-/XX8/4","178"
"XXXXX-/8/X8/X73","228"
"X34XX81-/X4/539-","152"
"X25XX6/X-/XX11","165"
"8/249-XX4/XX7/4/7","169"
"8-X1-X81XX24XX64","138"
"XX6/343/5341X-3X13","124"
"8/X3/X6125413/7/-/4","137"
"9/639/1/4/9/XX11X6-","140"
"54X6-9-32XX9/XXX","164"
"81XX3/X3/8/627/9-","162"
"812-36184/7/XX4/53","133"
"3/42-0XXX2/1/X5/5","158"
"XX1/1/4/6/35517/X73","149"
"31X3/6/4/XXX6/X71","188"
"8-62X-8-12681X63X31","102"
"7/2/XX4/-/1/X3261","144"
"2/3/9-5/8/52X2/X1-","133"
"81XXXXX9/-35/4/9","194"
"1/X3/6/2/7-X4/7/X26","167"
"3--25/9/X9-X3/1/X64","143"
"-/X2/8/4/-0269/525/3","125"
"6/2/XX1/7/442/XX2-","166"
"XX1-9-6/4/X7/X5/2","148"
"X9-18XXXX81-3X5-","171"
"5/X3/-0712/XX447/9","147"
"X3/XX1/3/9-34172/7","154"
"9-34XXX7/8/4--/-/4","153"
"9-XXX369/8/-47/9/3","154"
"X81-8-85/2/9-X63X64","132"
"712/2/XX4/3/8/X13","153"
"X-4X33337/X8/XX61","149"
"X7/2/X-/7-2/XX8/1","175"
"4144XX3/X351/1/71","138"
"1/X5/3/234/X34539-","131"
"X2/622/X6/X545/9/8","169"
"XX4/2/13X9-5--972","122"
"XX7231XX-13/2/X82","143"
"XXX3/XXXXX3/8","244"
"459/7-1/4/XX2/X45","157"
"23X72437/12X348/32","96"
"5/X45XXX8/8/5/5/9","193"
"71XX51XX9/7/XX37","184"
"XX44727-3-5221X4/4","113"
"X4/6/X21X3/2-1714","119"
"X9/X9/X7/X7/81X33","183"
"817/9/XXX458-XX52","180"
"1-428-X51X2/XX9/1","137"
"3-2/638--21/-43/X5/7","109"
"8--/X534/18XX5/3/-","142"
"X27XX8/7/22X8-9-","144"
"7/4-2/5/6/X726163X9-","132"
"X519/9/5-9/9-537/25","116"
"11XX621/-/8/X-52/1","133"
"157-9/X8-X43XXX61","156"
"X3-XX4-3/32X52X--","110"
"5/2/X6/6/2-X1/11XX","135"
"-/X9/6/3/X7/X4-54","156"
"-0X7/-/-/3/3/52-543","100"
"8--/XX453/X7/9/2/8","169"
"5/8/4/-87/4/X-55/7-","128"
"7/XXX-835618-9-5/6","144"
"X166/71X63XX43X53","143"
"71X-7X9--18-7-X7/9","115"
"-/819/-6131-X-1XX44","102"
"7/7/-6XX9-32XX13","134"
"2/X319/X24X8/X7-","144"
"XX42-7-/3/4/8--/81","133"
"716/7242X514/2/814/-","111"
"3/71X-5X13537/-/X82","121"
"6/6/3/8/1/9--/-/9-X82","144"
"34169/-/X2236X5126","101"
"621/9/9/5/42-/8/8/7/9","153"
"9/36543241X813/X6/5","124"
"7/4/5/X6-XXX9-63","167"
"7/6/44541/1/325-6/X91","121"
"X71X4/-/3/44-1-124","99"
"-7X8/631/X2/7-X9-","144"
"X-/X6/X81XX7/X8-","193"
"7/X63X6/424/4-45-/8","133"
"X32-48/6/33X4--/X6-","113"
"5/2/6/31X-77/X-/X35","147"
"XX4/3/7/X21443/9-","146"
"9/9-4/7/3/9-618/5/7-","132"
"-5X9-4334X2/4/25XX","120"
"8/X1224529/-49-2/X26","110"
"9/X-/71XXX615/4-","163"
"2/225/71-3X7/X45X35","130"
"9-X9-X81X1/7-5-52","121"
"4/XX4/4531712/XXX","169"
"8/7/816/72XXXXX25","199"
"6/418/2/6/-07/X27-/1","116"
"8/54728/X3/X3/6/XX","169"
"X4/2/4/6/X7-X254/6","146"
"3/XX434/XX7/-/X8-","183"
"2/3/1-81X72X2/9/62","125"
"X9-X8-X8-6/61XXX","153"
"XX2/X-/635/X5/X21","180"
"7/X4/4/63X812/1/X22","152"
"9-X8/21X-92/1/3/63","121"
"X6/XX45818/34XX6-","163"
"XX5/XXX341/239/6","175"
"527/2/X9-X8/X9/7-","151"
"9-333442717-X218/X91","99"
"8/51X52X33XX-/X63","146"
"1/XX9-185-X3/8/X-6","165"
"2/X9-31X51544/3-62","107"
"4/71X45X3-X2/623/7","130"
"1/X812/9/X42X-281","132"
"432/3/8/2/51534/5/1/8","123"
"6/X3/X3/52-/X6253","156"
"-/6/XXXX9-X2/X55","213"
"4/3/331/3/2/X8/423/X","137"
"42-472X6/8113XX7/9","136"
"X-4335/42X6-6/-8X8-","102"
"XX6/5/X6/6/3/44X13","166"
"X-7X9/X5-X25XXX","158"
"4/X4/X35X148/XX14","162"
"628-3/6/8/X444/XXX","166"
"X7/X628/189/4/63X34","142"
"1/9-XX22-0X9-XX8-","142"
"XX274/32X72X8-X-9","141"
"4/9-6/9/8-X7-3/5313","124"
"7/X81XX-/4/XX-5","162"
"-79/X-563X-/53511/3","118"
"8-X7/X1/9/9-516/X11","153"
"7/XXX-/X5/-/812/5","182"
"6/XXXX1/26X6/63","186"
"2/5/XX812/4/4/X26","165"
"14X539/81X44817/6/X","129"
"-/X1217XX1/XX35","154"
"5-533/2/6-1/X53-7X6-","116"
"-/8/X1-7/6-5/X-/7-","136"
"6/X2-8/3-9-9/411/X-8","116"
"9-6/5/17X9-9/631372","109"
"7/5-24X-/81X8/33-/3","125"
"-4XX3/-/XXX1/XX","188"
"72342/34-/1-81X4/1/9","107"
